m3a	m2a	angles_b_a	angles_j1_a	angles_j2_a	m3b	m2b	angles_b_b	angles_j1_b	angles_j2_b	missing_eT
159.214181	100.166727	1.927817	3.034789	3.117519	132.878689	31.381518	2.478554	2.024311	2.062905	269.835233
311.442271	187.332046	0.262236	2.129367	2.255736	211.295354	41.947580	0.325641	1.263694	0.825803	597.018691
264.476837	118.731582	2.842747	2.702760	1.597711	175.301647	54.802074	0.168025	2.394436	0.782478	624.296089
168.059867	135.743448	1.904941	2.636927	2.753003	149.012497	44.968079	0.465979	1.982757	2.988552	209.586577
154.560794	60.826495	2.965759	2.766825	2.507494	130.822497	44.770034	0.497110	1.083540	2.020853	510.239110
171.130497	80.222895	2.783445	2.539935	1.752437	132.233889	66.723205	0.971748	1.768716	2.515949	365.768437
154.217003	52.876365	2.251892	0.206071	0.335220	163.608647	87.004888	0.990529	2.873895	3.062539	131.083877
406.207822	365.855558	1.776695	3.012605	2.232649	197.702397	80.463297	2.649076	0.550698	1.916763	455.858047
226.710361	194.483699	1.581760	3.057006	2.739134	146.381538	137.799557	2.160027	1.397365	2.720732	343.528497
190.364416	58.685302	1.650573	2.749764	1.978415	330.608608	149.365880	2.359084	1.657398	1.565116	403.067374
695.273675	583.334713	0.583477	2.456639	2.964286	261.158355	86.061015	0.940322	3.045884	2.645708	612.186063
175.797303	76.080739	1.837512	2.406125	2.994981	298.014793	100.877769	1.887859	1.329724	2.799617	350.801434
193.160010	166.538377	1.966652	2.742438	2.536961	173.357987	92.579191	0.422303	1.356285	3.115665	397.836931
354.396653	223.986231	2.637102	2.984190	2.817504	162.034873	72.784998	1.524797	1.364419	0.473923	357.864012
479.149682	224.043180	2.626665	0.268266	0.215484	645.889493	263.993002	3.055850	1.552407	1.673664	194.672430
172.831409	74.881877	0.539259	2.742446	2.573734	107.175408	59.344554	2.974866	2.213427	1.561850	391.320980
136.008489	57.827424	2.251809	1.401240	1.231433	110.833797	102.480094	2.025490	2.449968	2.980732	184.653321
209.138307	58.887220	2.287449	2.371850	2.716223	117.585910	45.879962	2.229747	1.304097	0.270097	422.224459
161.609374	36.509935	2.008371	0.774339	1.173748	146.857413	44.580722	3.125200	1.921481	2.644012	312.216180
112.415581	65.426897	2.998785	2.056419	2.966983	359.418529	316.517853	2.811125	1.152993	0.016663	229.172547
