m3a	m2a	angles_b_a	angles_j1_a	angles_j2_a	m3b	m2b	angles_b_b	angles_j1_b	angles_j2_b	missing_pT
244.853931	95.433635	2.530129	2.171314	3.090764	187.522172	46.683665	0.052500	0.975159	1.411574	207.281170
553.371435	339.207614	2.338627	2.041078	1.693340	195.753523	104.686378	1.185682	1.001770	2.371775	117.808274
690.841764	629.130102	0.768290	3.124099	3.032549	326.976026	138.901335	2.478870	0.085612	0.992336	251.062343
806.183401	696.004133	1.156130	2.490028	1.137048	238.344675	218.928286	1.440853	1.102006	2.258217	104.668552
443.516050	160.811176	0.412658	2.483168	2.893313	156.762453	33.009886	1.650061	2.365789	1.705541	439.397921
708.792339	544.341002	3.008585	1.451721	2.230082	482.823398	125.675430	1.187194	1.861701	1.808314	208.099528
281.433263	77.805388	2.935840	0.025909	0.081913	228.761555	45.966304	2.626786	1.882787	2.706407	86.058377
327.623688	159.660547	1.601218	0.234367	0.869588	333.349978	145.310448	2.875937	1.650934	0.852510	265.589581
312.170803	240.360831	0.008956	2.121036	2.491968	410.251284	147.687894	0.628893	2.398581	1.298609	157.767704
337.726405	293.431281	2.709244	2.935083	3.136672	341.846960	200.637340	1.400297	0.975317	0.279820	303.854759
486.792265	265.518096	2.592644	0.934649	1.821467	144.788750	115.745072	1.422508	1.827133	1.950767	194.136370
192.828512	58.399440	2.998624	2.445437	2.343359	155.533181	60.644603	0.084699	2.058308	2.611591	146.587899
177.019170	103.771712	0.197604	2.500560	2.150633	160.390812	61.603159	0.697662	2.063800	2.617414	312.234224
441.933679	396.532175	2.739541	2.268723	1.939865	274.549661	202.646302	1.821109	1.859690	1.603872	522.999725
265.157148	212.575857	0.342136	3.126304	2.157339	206.547752	32.474013	0.084115	1.876040	1.170045	290.304475
306.139423	142.697427	2.039687	0.145622	1.133939	165.359921	139.512778	2.795713	2.458446	2.408396	77.427616
158.978651	51.280074	1.463047	1.778646	2.199942	127.641205	64.053862	3.061271	0.627850	1.660865	167.230886
196.930680	99.916574	3.057566	2.368359	1.750672	141.014440	73.805518	1.580326	0.067027	0.372670	73.600491
399.127262	324.989557	0.010239	2.704880	1.795382	504.145074	84.111684	0.978015	2.010181	1.443337	268.061588
412.512534	114.162329	0.180578	2.321943	1.978645	331.159757	173.316784	2.180020	2.332160	1.231522	335.916606
618.382937	427.468672	2.258154	0.311015	0.168059	373.843990	287.928656	1.960761	2.526618	3.120455	84.272473
394.109403	276.081166	0.759121	2.543419	2.501035	159.496898	69.652087	0.674926	0.384098	0.666766	313.403805
200.706135	193.795279	3.071474	2.737752	2.944051	159.712159	36.851044	2.891199	1.268713	1.170103	359.122108
139.506677	105.164541	1.962480	2.563174	1.771272	165.319165	84.367228	0.939498	1.858902	1.653922	262.740317
427.547068	94.938868	2.069746	2.987676	2.540648	162.313945	95.759555	0.170505	2.107011	2.982657	417.454558
398.425951	264.113712	0.956208	2.737729	1.580982	172.845470	103.123292	1.035731	1.168132	1.829656	305.944516
207.071950	96.778852	1.704342	0.844877	0.289541	186.191920	67.332221	1.976875	2.669661	1.823644	85.339393
159.129489	87.153233	0.203378	1.676955	2.717052	194.829758	63.070756	0.936487	2.648636	2.735801	13.929758
352.143459	173.830389	0.972356	2.577765	2.195930	196.320733	142.302914	1.987009	1.122982	2.118515	213.014964
236.653366	113.153539	0.081328	2.483494	2.305642	163.264683	65.080936	1.177600	0.104409	1.288011	90.571069
515.123420	315.538887	2.760193	0.911119	2.427151	180.338879	72.322136	1.489480	0.381091	0.992897	165.027260
296.514405	213.864946	2.942643	1.999313	1.326286	132.960857	102.316708	1.056329	1.814878	1.114039	158.607846
170.959792	42.997798	1.803566	2.840154	2.693162	163.665484	114.572701	2.107396	0.043139	0.743526	95.367888
304.400585	75.337415	2.387583	0.271370	0.211939	153.218499	103.741274	3.069402	2.849561	2.168116	341.743106
269.120871	97.550794	2.172517	3.108172	2.147335	216.290843	75.781223	1.516194	1.438652	1.951471	241.004424
307.934203	264.667736	1.416877	2.473209	2.422062	360.570591	69.651591	0.787112	1.383273	1.808076	162.235561
308.779239	168.482544	0.678631	2.731882	2.282892	182.345512	65.060535	1.162239	0.611083	0.216576	157.525286
631.360021	226.489275	0.757148	2.991939	2.264173	148.036029	86.768615	0.312399	0.276630	0.374846	106.398219
1145.973026	968.136919	0.183102	2.039856	1.135920	262.250706	204.573802	2.341349	2.266125	2.369555	138.888009
172.375786	136.873953	2.810739	2.229499	1.789902	119.831143	59.845387	1.978669	0.834558	1.677046	169.727232
474.059410	301.004656	0.608941	3.051517	1.681376	86.068929	28.321685	0.731445	1.490830	0.398284	304.589810
160.236134	145.348545	2.686064	1.701333	2.188467	305.888454	82.237971	1.875373	2.112663	1.374544	219.336463
226.383100	181.060432	1.381516	1.454368	1.128065	158.074407	90.510596	1.917542	2.841187	2.896396	207.384529
315.507636	124.547465	1.113043	3.130414	2.506471	166.231349	66.371203	0.033048	0.566813	1.035522	216.247000
368.983502	178.545902	0.303835	1.096362	2.128089	263.143952	72.618636	2.235391	1.934699	0.770891	221.080531
390.343941	91.572147	2.127646	2.994523	2.805337	371.742479	191.974338	1.054419	0.501240	0.499956	113.565889
212.249005	104.918409	1.220582	2.264323	2.672105	189.641581	120.361587	1.942954	2.643175	2.944735	359.235547
174.994244	129.849004	0.382523	2.882024	2.274496	182.896852	66.625616	0.446605	2.456696	2.734066	61.422027
679.170429	586.123956	1.456668	2.839551	1.472644	595.140322	266.893980	2.061135	0.120674	0.574314	305.262605
381.225331	106.837437	0.762597	2.444648	2.695645	327.795187	46.085540	2.968569	2.022624	2.722769	513.613831
161.528167	124.516463	2.045165	2.534187	1.533714	209.992103	127.739389	0.980245	0.378914	1.102178	69.822084
