m3a	m2a	angles_b_a	angles_j1_a	angles_j2_a	m3b	m2b	angles_b_b	angles_j1_b	angles_j2_b	mT_b	eT_missingT
148.807082	72.151451	2.278767	2.301853	2.846686	153.686809	81.332259	1.155468	0.729007	1.610848	29110.639091	450.409457
194.804631	119.503250	1.663563	2.851393	2.483966	107.852015	40.587646	2.735066	0.903028	0.083779	32581.302969	209.313450
144.445167	90.742970	2.384953	2.936496	2.866033	163.022543	69.766077	1.980145	1.706169	0.680449	79318.663260	725.211730
239.393256	145.603545	1.264011	1.350537	0.057133	172.025626	33.145031	2.469289	2.791270	2.262311	114192.453848	166.311272
142.329874	53.369889	1.742263	3.081930	2.887531	75.191843	47.340246	0.378100	0.820513	1.695788	367.435913	165.422679
145.776552	88.697165	1.283469	2.981088	2.448619	134.166153	70.532068	1.305861	2.465593	1.064639	15846.939219	286.975520
1169.928902	1112.753191	3.015047	2.977832	2.690580	168.546128	62.200128	1.403636	2.142949	1.159588	48581.577375	541.427953
480.709030	391.165964	1.314320	2.426792	1.482942	870.426129	97.430479	2.702589	0.002047	2.566757	516244.313834	553.324817
672.020658	573.260790	2.688055	1.017034	2.921055	188.656173	87.566231	2.145202	1.036627	1.763548	45084.637110	186.544541
285.031416	251.865745	2.458519	2.598204	1.757131	249.548301	51.019496	1.060502	0.293214	1.475742	313132.717564	583.200376
288.880510	210.359602	0.947095	2.904356	1.531233	394.083288	144.901282	2.273162	1.325745	1.166848	375698.303105	386.334469
168.246168	84.651131	0.337814	2.322375	2.606772	140.292711	21.225882	2.556324	0.942805	0.442200	2633.306478	17.609425
164.220754	72.892391	1.248475	0.426460	1.233934	113.007528	66.794179	1.817322	2.930764	2.399762	4622.388575	98.046905
428.118420	302.472585	1.750183	2.871821	2.293735	153.296238	77.718138	1.136820	2.755762	0.409295	72093.994973	664.139692
226.717749	63.317447	1.810291	1.260759	0.722672	163.153955	71.526974	2.266341	3.116764	1.139843	139176.197443	189.187675
181.153922	136.043811	0.325576	1.142579	0.936712	188.685706	72.421327	3.130048	1.102418	2.023931	34115.168724	83.344840
157.502669	78.483285	3.011568	3.018587	2.508926	151.147151	68.566453	0.662037	1.387715	3.094445	10494.598794	452.679077
175.030115	52.478976	1.077720	2.662168	2.271282	147.429083	69.091013	2.977617	1.625448	0.147203	93508.724911	316.157870
209.822788	183.887078	1.876875	2.410089	1.073897	303.454774	140.220717	2.822584	1.767576	0.846529	176503.179083	322.304417
201.646686	76.150886	0.505748	2.687151	2.949122	146.559857	110.269951	0.806036	0.430372	1.457685	2508.649688	239.386931
179.443295	64.365118	1.762505	1.703882	2.485905	310.164542	52.928842	3.081235	1.157707	0.221649	55737.483599	138.860703
157.148542	69.796359	0.428700	2.359707	3.008784	169.740426	76.358117	3.088903	1.986998	1.585371	325273.106248	531.359095
333.623796	198.905127	0.864534	2.742804	2.985766	170.045454	95.231282	2.293916	1.086467	2.304000	125217.652334	441.242514
477.085759	71.217949	1.274931	3.055236	2.302379	92.265397	24.731319	0.300545	1.404810	1.093498	8034.848101	672.708878
123.181409	62.367066	2.783160	3.072507	2.786287	218.242013	76.695518	2.054004	0.665263	1.665915	52707.768078	425.276113
216.678941	113.508601	1.734045	1.958455	3.014497	124.290098	40.399943	3.122004	1.066845	0.849387	133431.424440	321.515887
358.521838	334.954353	1.542290	2.600532	1.874539	98.099501	49.753011	1.798750	2.910160	1.567063	13417.609582	197.181077
171.455345	89.497647	1.988483	3.124192	2.322171	272.186036	61.864794	2.621667	0.923070	2.127839	104866.501245	417.243967
236.445302	95.731837	1.923503	2.727626	2.686761	175.390309	77.536610	1.150449	1.513592	0.287779	224884.514174	474.032620
149.363424	78.263300	2.593208	0.932475	1.693302	113.526079	70.540507	1.311977	1.876392	2.605013	2495.307528	167.701048
186.986742	157.350081	1.874316	2.988616	1.840688	198.148489	76.385830	2.111093	1.329671	0.253734	114478.838116	498.007544
171.840591	77.840583	2.992435	2.068170	1.237611	208.602134	117.122824	2.808412	1.700828	1.336808	21383.211865	323.657302
186.888168	56.976816	1.021096	3.032483	2.840518	142.426707	78.914086	0.749482	2.310404	2.113733	6883.668030	229.609985
